地区	地名	センター（center.csvを使わない場合は空白化）	燃やせるごみ	燃やせないごみ	リサイクル	粗大ごみ有料戸別収集
下館地区	川島	環境センター	月 木	水1	日1 日3	水4
下館地区	大田	環境センター	月 木	水1	日1 日3	水4
下館地区	養蚕	環境センター	月 木	水1	日1 日3	水4
下館地区	嘉田生崎	環境センター	月 木	水1	日1 日3	水4
下館地区	下館	環境センター	火 金	水2	日2 日4	水4
下館地区	伊讃	環境センター	火 金	水2	日2 日4	水4
下館地区	竹島	環境センター	火 金	水2	日2 日4	水4
下館地区	五所	環境センター	火 金	水2	日2 日4	水4
下館地区	中	環境センター	火 金	水2	日2 日4	水4
下館地区	河間	環境センター	火 金	水2	日2 日4	水4
関城地区	船玉	環境センター	火 金	木1	日1	水3
関城地区	分中	環境センター	火 金	木1	日1	水3
関城地区	本郷	環境センター	火 金	木1	日1	水3
関城地区	上町	環境センター	火 金	木1	日1	水3
関城地区	中町	環境センター	火 金	木1	日1	水3
関城地区	河内地区全域	環境センター	火 金	木1	日2	水3
関城地区	黒子地区全域	環境センター	火 金	木1	日3	水3
関城地区	下町	環境センター	火 金	木1	日4	水3
関城地区	桜塚	環境センター	火 金	木1	日4	水3
関城地区	上野	環境センター	火 金	木1	日4	水3
関城地区	橋本	環境センター	火 金	木1	日4	水3
関城地区	下河原	環境センター	火 金	木1	日4	水3
明野地区	大村（台山北・石倉・三ツ谷を除く）	環境センター	月 木		日4	水3
明野地区	長讃	環境センター	月 木		日1	水3
明野地区	台山北	環境センター	火 金		日4	水3
明野地区	石倉	環境センター	火 金		日4	水3
明野地区	三ツ谷	環境センター	火 金		日4	水3
明野地区	村田	環境センター	火 金		日2	水3
明野地区	上野	環境センター	火 金		日3	水3
明野地区	鳥羽	環境センター	火 金		日1	水3
協和地区	加草	環境センター	月 木	水3	日1	水3
協和地区	宮本	環境センター	月 木	水3	日1	水3
協和地区	稲荷宿	環境センター	月 木	水3	日1	水3
協和地区	上町	環境センター	月 木	水3	日1	水3
協和地区	仲町	環境センター	月 木	水3	日1	水3
協和地区	下町	環境センター	月 木	水3	日1	水3
協和地区	下小栗	環境センター	月 木	水3	日1	水3
協和地区	整理地	環境センター	月 木	水3	日1	水3
協和地区	旭町	環境センター	月 木	水3	日1	水3
協和地区	蓬田	環境センター	月 木	水3	日1	水3
協和地区	今泉町住宅	環境センター	月 木	水3	日1	水3
協和地区	宮本住宅	環境センター	月 木	水3	日1	水3
協和地区	井出北	環境センター	月 木	水3	日2	水3
協和地区	井出南	環境センター	月 木	水3	日2	水3
協和地区	向川澄	環境センター	月 木	水3	日2	水3
協和地区	横塚	環境センター	月 木	水3	日2	水3
協和地区	蓮沼団地	環境センター	月 木	水3	日2	水3
協和地区	商業卸団地巽内	環境センター	月 木	水3	日2	水3
協和地区	高座口	環境センター	月 木	水3	日4	水3
協和地区	谷中	環境センター	月 木	水3	日4	水3
協和地区	赤法花	環境センター	月 木	水3	日4	水3
協和地区	堀之内	環境センター	月 木	水3	日3	水3
協和地区	高堀	環境センター	月 木	水3	日3	水3
協和地区	十里下西	環境センター	月 木	水3	日2	水3
協和地区	十里下東	環境センター	月 木	水3	日2	水3
協和地区	十里上	環境センター	月 木	水3	日2	水3
協和地区	前原	環境センター	月 木	水3	日2	水3
協和地区	桑山	環境センター	月 木	水3	日2	水3
協和地区	栗崎	環境センター	月 木	水3	日2	水3
協和地区	細田	環境センター	月 木	水3	日3	水3
協和地区	上星谷	環境センター	月 木	水3	日3	水3
協和地区	三王	環境センター	月 木	水3	日3	水3
協和地区	柳	環境センター	月 木	水3	日3	水3
協和地区	八幡	環境センター	月 木	水3	日4	水3
協和地区	下星谷	環境センター	月 木	水3	日4	水3
協和地区	谷永島	環境センター	月 木	水3	日3	水3
協和地区	知行	環境センター	月 木	水3	日3	水3
協和地区	下郷谷	環境センター	月 木	水3	日4	水3
協和地区	大島	環境センター	月 木	水3	日4	水3
協和地区	清水	環境センター	月 木	水3	日3	水3

